SDS 2.4	AQ Results	1.0
Filename	juuni2
PlateID	
Assay Type	Absolute Quantification
Run DateTime	6/2/13 8:51:19 PM
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
245	K5	SYBR	SYBR	Unknown	17.990597	84.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
246	K6	SYBR	SYBR	Unknown	18.147686	84.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
247	K7	SYBR	SYBR	Unknown	24.031858	84.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
248	K8	SYBR	SYBR	Unknown	23.907854	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
249	K9	SYBR	SYBR	Unknown	24.141607	83.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
250	K10	SYBR	SYBR	Unknown	24.325205	84.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
251	K11	SYBR	SYBR	Unknown	23.453033	84.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
252	K12	SYBR	SYBR	Unknown	23.163385	83.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
253	K13	SYBR	SYBR	Unknown	27.984701	83.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
254	K14	SYBR	SYBR	Unknown	29.45104	91.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565					true								
255	K15	SYBR	SYBR	Unknown	28.28647	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
256	K16	SYBR	SYBR	Unknown	28.19644	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
257	K17	SYBR	SYBR	Unknown	27.368856	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
258	K18	SYBR	SYBR	Unknown	30.500338	83.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
265	L1	SYBR	SYBR	Unknown	20.964638	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
266	L2	SYBR	SYBR	Unknown	23.208612	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565					true								
267	L3	SYBR	SYBR	Unknown	21.394676	85.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
268	L4	SYBR	SYBR	Unknown	20.249989	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
269	L5	SYBR	SYBR	Unknown	21.000118	85.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
270	L6	SYBR	SYBR	Unknown	20.380787	85.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
271	L7	SYBR	SYBR	Unknown	21.731068	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
272	L8	SYBR	SYBR	Unknown	22.211658	86.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
273	L9	SYBR	SYBR	Unknown	21.854294	85.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
274	L10	SYBR	SYBR	Unknown	21.649635	85.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
275	L11	SYBR	SYBR	Unknown	22.54982	85.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
276	L12	SYBR	SYBR	Unknown	22.068121	85.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
277	L13	SYBR	SYBR	Unknown	26.250006	85.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.08613565													
